2025-09-15 15:08:13 | lr:0.001 | seed:1 | epoch 20: | Train_loss: 0.7943, | Train_acc: 80.47%, Val_acc: 74.2377%(correct=6369670, total=8580096)
2025-09-15 15:08:15 | lr:0.001 | seed:1 | epoch 21: | Train_loss: 0.7817, | Train_acc: 80.37%, Val_acc: 74.1418%(correct=6361438, total=8580096)
2025-09-15 15:08:18 | lr:0.001 | seed:1 | epoch 22: | Train_loss: 0.7518, | Train_acc: 80.04%, Val_acc: 73.7067%(correct=6324105, total=8580096)
2025-09-15 15:08:21 | lr:0.001 | seed:1 | epoch 23: | Train_loss: 0.7265, | Train_acc: 81.47%, Val_acc: 73.6029%(correct=6315200, total=8580096)
2025-09-15 15:08:24 | lr:0.001 | seed:1 | epoch 24: | Train_loss: 0.7160, | Train_acc: 81.81%, Val_acc: 74.0317%(correct=6351991, total=8580096)
2025-09-15 15:08:26 | lr:0.001 | seed:1 | epoch 25: | Train_loss: 0.6759, | Train_acc: 81.99%, Val_acc: 73.9288%(correct=6343166, total=8580096)
2025-09-15 15:08:29 | lr:0.001 | seed:1 | epoch 26: | Train_loss: 0.6854, | Train_acc: 81.88%, Val_acc: 73.8508%(correct=6336469, total=8580096)
2025-09-15 15:08:32 | lr:0.001 | seed:1 | epoch 27: | Train_loss: 0.6651, | Train_acc: 82.19%, Val_acc: 73.2585%(correct=6285653, total=8580096)
2025-09-15 15:08:35 | lr:0.001 | seed:1 | epoch 28: | Train_loss: 0.6547, | Train_acc: 82.44%, Val_acc: 73.1961%(correct=6280297, total=8580096)
2025-09-15 15:08:38 | lr:0.001 | seed:1 | epoch 29: | Train_loss: 0.6431, | Train_acc: 82.42%, Val_acc: 73.2050%(correct=6281057, total=8580096)
2025-09-15 15:08:40 | lr:0.001 | seed:1 | epoch 30: | Train_loss: 0.6396, | Train_acc: 82.45%, Val_acc: 73.2050%(correct=6281057, total=8580096)
2025-09-15 15:08:47 | lr:0.0001 | seed:1 | epoch 0: | Train_loss: 1.5140, | Train_acc: 75.74%, Val_acc: 72.8094%(correct=6247116, total=8580096)
2025-09-15 15:08:50 | lr:0.0001 | seed:1 | epoch 1: | Train_loss: 1.2895, | Train_acc: 79.13%, Val_acc: 74.1393%(correct=6361220, total=8580096)
2025-09-15 15:08:53 | lr:0.0001 | seed:1 | epoch 2: | Train_loss: 1.1125, | Train_acc: 79.55%, Val_acc: 73.9645%(correct=6346222, total=8580096)
2025-09-15 15:08:55 | lr:0.0001 | seed:1 | epoch 3: | Train_loss: 1.1067, | Train_acc: 79.50%, Val_acc: 74.0279%(correct=6351663, total=8580096)
2025-09-15 15:08:58 | lr:0.0001 | seed:1 | epoch 4: | Train_loss: 1.0725, | Train_acc: 78.82%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:09:01 | lr:0.0001 | seed:1 | epoch 5: | Train_loss: 1.0962, | Train_acc: 79.34%, Val_acc: 74.1987%(correct=6366318, total=8580096)
2025-09-15 15:09:04 | lr:0.0001 | seed:1 | epoch 6: | Train_loss: 1.1164, | Train_acc: 79.27%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:09:07 | lr:0.0001 | seed:1 | epoch 7: | Train_loss: 0.9745, | Train_acc: 79.70%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:09:09 | lr:0.0001 | seed:1 | epoch 8: | Train_loss: 1.0392, | Train_acc: 79.73%, Val_acc: 73.3227%(correct=6291155, total=8580096)
2025-09-15 15:09:12 | lr:0.0001 | seed:1 | epoch 9: | Train_loss: 0.9911, | Train_acc: 79.57%, Val_acc: 74.2598%(correct=6371565, total=8580096)
2025-09-15 15:09:15 | lr:0.0001 | seed:1 | epoch 10: | Train_loss: 0.9681, | Train_acc: 78.96%, Val_acc: 74.1084%(correct=6358575, total=8580096)
2025-09-15 15:09:17 | lr:0.0001 | seed:1 | epoch 11: | Train_loss: 0.9099, | Train_acc: 79.05%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:09:20 | lr:0.0001 | seed:1 | epoch 12: | Train_loss: 1.0120, | Train_acc: 79.77%, Val_acc: 72.6829%(correct=6236264, total=8580096)
2025-09-15 15:09:23 | lr:0.0001 | seed:1 | epoch 13: | Train_loss: 0.9331, | Train_acc: 79.48%, Val_acc: 74.2594%(correct=6371527, total=8580096)
2025-09-15 15:09:26 | lr:0.0001 | seed:1 | epoch 14: | Train_loss: 0.8827, | Train_acc: 79.66%, Val_acc: 74.2600%(correct=6371578, total=8580096)
2025-09-15 15:09:28 | lr:0.0001 | seed:1 | epoch 15: | Train_loss: 0.8556, | Train_acc: 79.52%, Val_acc: 74.1378%(correct=6361093, total=8580096)
2025-09-15 15:09:31 | lr:0.0001 | seed:1 | epoch 16: | Train_loss: 0.8377, | Train_acc: 79.42%, Val_acc: 74.2600%(correct=6371576, total=8580096)
2025-09-15 15:09:33 | lr:0.0001 | seed:1 | epoch 17: | Train_loss: 0.8419, | Train_acc: 79.74%, Val_acc: 74.1346%(correct=6360821, total=8580096)
2025-09-15 15:09:36 | lr:0.0001 | seed:1 | epoch 18: | Train_loss: 0.8638, | Train_acc: 79.17%, Val_acc: 74.2597%(correct=6371553, total=8580096)
